"Organization Name","Date Approved","AreasServed","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information 				 					IRR 					RPKI"
"Fox Telecomunicação e Internet LTDA.","31st Mar 2020","BR","28311","1","1","1","1"
"Foxx Provider Telecom","14th Jan 2020","BR","264084","1","100%","100%","100% 							 							 								0%"
"Framnet","31st Dec 2021","BR","269292","1","No data","100%","100% 							 							 								0%"
"Franklin & Marshall College","25th Jan 2019","US","31746","1","No data","100%","100% 							 							 								100%"
"Front Range GigaPoP (FRGP)","25th Feb 2019","US","14041","1","No data","100%","100% 							 							 								85%"
"G2NetSul","15th Sep 2021","BR","53061","1","0","100%","100% 							 							 								100%"
"Galaxy Communications","11th Nov 2022","PA","27796","1","100%","100%","100% 							 							 								100%"
"GARR","20th Jul 2020","IT","137","1","0","100%","100% 							 							 								37%"
"GBonline","18th Sep 2020","BR","52771","1","No data","100%","100% 							 							 								0%"
"GEANT","25th Aug 2018","EU","21320, 20965","1","No data","100%","100% 							 							 								100%"
"Genes Telecom","7th Jul 2020","CA","394989","1","No data","100%","100% 							 							 								0%"
"GF TELECOM","21st Mar 2022","BR","61888","1","0","100%","100% 							 							 								52%"
"GGNET TELECOM","1st Feb 2019","BR","53062","1","0","100%","99% 							 							 								65%"
"GIBIRNET","4th Apr 2022","TR","208972","1","0","100%","100% 							 							 								44%"
"Gigas","25th Aug 2018","ES, US","57286, 27640","1","No data","100%","100% 							 							 								3%"
"Gigastream plc","25th Aug 2018","GB","31712","1","No data","100%","100% 							 							 								100%"
"Gigaweb Tecnologia","5th May 2023","BR","267668","1","0","100%","100% 							 							 								100%"
"Globalmt","26th Apr 2023","BR","264237","1","0","100%","100% 							 							 								43%"
"GLPR","29th Dec 2020","IT","34428","1","No data","100%","100% 							 							 								100%"
"GMG AG","5th May 2022","CH, LI","25581","1","100%","100%","100% 							 							 								0%"
"Go6 Institute","13th Dec 2018","SI","198644","1","No data","100%","100% 							 							 								0%"
"Gold Data","1st Jan 2022","CR, DO, MX, PA, VE","28007","1","100%","100%","100% 							 							 								89%"
"GOLINE SA","22nd Jun 2020","CH","202032","1","100%","100%","100% 							 							 								100%"
"Google LLC","22nd Feb 2019","US","15169","1","No data","100%","100% 							 							 								99%"
"GR NET","26th Jun 2023","BR","271310","1","0","0%","100% 							 							 								100%"
"Green Mini host BV","11th Dec 2019","NL","205668","1","No data","100%","100% 							 							 								100%"
"GRMML Networks","19th Nov 2021","DE, EU","208059","1","No data","100%","100% 							 							 								83%"
"GRNET","25th Aug 2018","GR","5408","1","No data","100%","100% 							 							 								74%"
"Grupo Telco de Centroamerica S.A.","20th Jul 2022","CR","52392","1","0","100%","100% 							 							 								100%"
"Gtd Colombia S.A.S","16th Apr 2020","CO","26619","1","100%","100%","100% 							 							 								99%"
"Habla IP SpA","3rd Aug 2020","CL","269956","1","No data","100%","100% 							 							 								100%"
"HALLAG Kommunal GmbH / Citynet","15th Apr 2021","AT, CH, DE, IT","34347","1","100%","100%","100% 							 							 								100%"
"Hats Network Inc.","24th Jan 2023","AU, BR, CA, CH, DE, HK, JP, NL, RU, TW, US, ZA","203314, 203423","1","0","100%","100% 							 							 								100%"
"Havan S.A","12th Apr 2022","BR","271541","1","100%","100%","100% 							 							 								100%"
"HEAnet","19th May 2022","IE","1213","1","0","100%","100% 							 							 								94%"
"Heinlein Support GmbH","25th Sep 2019","DE","199118","1","0","100%","100% 							 							 								0%"
"Hextet Systems","16th Mar 2020","CA","395089","1","0","100%","50% 							 							 								0%"
"Hi3G Access AB","21st Mar 2022","DK, SE","44034","1","No data","100%","100% 							 							 								100%"
"Hive Data Center","26th Apr 2023","CA","33185","1","0","100%","100% 							 							 								89%"
"Home NOC Operators' Group","1st Apr 2019","JP","59105","1","No data","100%","100% 							 							 								100%"
"HopOne Internet Corp.","4th Oct 2018","US","14361","1","No data","100%","99% 							 							 								0%"
"HOPUS","13th Oct 2019","CH, DE, FR, NL","44530","1","0","100%","100% 							 							 								100%"
"HostFiber","15th Sep 2021","BR","28666, 53231","1","0","100%","97% 							 							 								0%"
"HostingFuze Network","31st Mar 2023","EU","41732, 211940","1","0","100%","100% 							 							 								83%"
"Hostiran DC Network","16th Sep 2022","IR","59441","1","No data","100%","0"
"Hostmaster Ltd","23rd Oct 2019","UA","29067, 24725","1","0","0","0"
"Hostmein IKE","13th Apr 2020","CY, GR","50520","1","No data","100%","100% 							 							 								100%"
"Howard Center, Inc.","4th May 2020","US","19704","1","0","100%","100% 							 							 								100%"
"Hub One","26th Apr 2023","FR","29283","1","No data","100%","100% 							 							 								100%"
"i8 Digital","17th Oct 2021","BR","266289","1","No data","100%","100% 							 							 								100%"
"ICA-NET s.r.l.","6th Jul 2020","IT","16191","1","0","1","1"
"ICCOM S.R.L.","13th Jun 2022","IT","44219","1","No data","100%","100% 							 							 								100%"
"Icon Fiber Solutions Ltd","14th Jul 2023","KE","329101","1","No data","100%","100% 							 							 								100%"
"IG Networks USA Inc.","30th Sep 2022","AR, BR, CA, CL, CR, US, VE","16921","1","0","100%","100% 							 							 								100%"
"IIJ","25th Aug 2018","JP","2497","1","100%","100%","100% 							 							 								0%"
"Imaginet","29th Aug 2019","ZA","37159","1","0","100%","100% 							 							 								100%"
"Impacto Telecom","15th Sep 2021","BR","264212","1","0","100%","100% 							 							 								81%"
"Imperium Inc.","26th May 2021","CA, US","55016","1","49%","100%","100% 							 							 								63%"
"Implex.net","13th Apr 2020","US","21709","1","100%","100%","100% 							 							 								100%"
"Indiana GigaPOP","19th Oct 2018","US","19782","1","No data","100%","100% 							 							 								0%"
"Indiana University","25th Aug 2018","US","87, 27198","1","No data","100%","100% 							 							 								76%"
"Inet Telecom","26th Apr 2023","BR","269159","1","0","100%","100% 							 							 								0%"
"Infium, UAB","30th Dec 2019","LT","50297","1","0","100%","0"
"Infobras Telecom","8th Mar 2022","BR","266287","1","No data","100%","100% 							 							 								100%"
"Infoco Telecom","26th Jan 2023","BR","267440","1","No data","100%","100% 							 							 								50%"
"Infolic Telecom","19th Jun 2022","BR","28128","1","0","100%","100% 							 							 								0%"
"Infomix Internet","25th Jul 2023","BR","264242","1","0","100%","100% 							 							 								100%"
"INFOPOINTNET","27th Apr 2020","BR","264300","1","No data","100%","100% 							 							 								0%"
"INFORBARRA TELECOM","10th Jul 2023","BR","263903","1","No data","100%","100% 							 							 								83%"
"infoservic provedor de internet","4th May 2020","PR","263495","1","0","100%","100% 							 							 								100%"
"INFOTEC NETWORKS DE COSTA RICA","15th Feb 2023","BR","270890","1","No data","100%","100% 							 							 								50%"
"Institute for Research in Fundamental Sciences (IPM)","10th Jul 2019","IR","6736","1","0","100%","100% 							 							 								100%"
"InterBank","11th Mar 2021","US","398866","1","No data","100%","100% 							 							 								0%"
"Intercol Telecomunicações","28th Jan 2022","BR","53047, 267012","1","100%","100%","100% 							 							 								100%"
"INTERCONECT TELEINFORMATICA EIRELI","29th Dec 2020","BR","262492","1","No data","100%","100% 							 							 								68%"
"INTERNET MULTIFEED CO.","29th Aug 2019","JP","55391, 55392","1","100%","100%","100% 							 							 								100%"
"Internet Technology Laboratory","24th May 2022","TW","38254, 9267","1","No data","100%","100% 							 							 								100%"
"Internet2","9th Oct 2018","US","11164, 11537, 13436, 55038, 396450, 396955, 396961","1","100%","100%","78% 							 							 								94%"
"intibu","10th Jul 2019","DE, FR, NL, TR, US","48292","1","0","100%","100% 							 							 								100%"
"INVERSIONES EN TELECOMUNICACIONES DIGITALES S.A.C","6th Jul 2020","PE","267831","1","0","100%","100% 							 							 								86%"
"Inversiones Grajeda Andrade","13th Oct 2019","GT","265684","1","0","0","93% 							 							 								100%"
"Invest Mobile","25th Aug 2018","RU","50265","1","No data","100%","100% 							 							 								100%"
"Invista Net","27th Jan 2020","BR","262427","1","0","100%","100% 							 							 								75%"
"IOLNET TELECOM","5th Nov 2019","BR","53049","1","100%","100%","100% 							 							 								70%"
"ION Telecom and Technology","11th Nov 2019","LY","328073","1","No data","100%","100% 							 							 								100%"
"IONOS","23rd Oct 2018","EU, US","8560","1","No data","100%","100% 							 							 								100%"
"ip-it consult GmbH","4th Nov 2019","AT, DE","61438","1","0","100%","100% 							 							 								100%"
"IPcom Sistemas SAS","17th Oct 2021","CO","271927","1","0","100%","100% 							 							 								100%"
"ipFail Networks","11th Sep 2020","CA, GB, MX, US","62538","1","No data","100%","100% 							 							 								100%"
"IPGLOBE","15th Sep 2021","AR, BR, CL, US","53225","1","No data","100%","100% 							 							 								0%"
"Iplan - NSS SA","31st Aug 2018","AR","16814","1","No data","100%","100% 							 							 								100%"
"IPV6 Internet Ltda","24th Jul 2019","BR","28299","1","0","100%","100% 							 							 								100%"
"IPv6Go Solutions LTD","25th Apr 2023","IT","211358","1","0","100%","100% 							 							 								43%"
"ISPN","5th Apr 2022","US","10320","1","0","100%","100% 							 							 								0%"
"IT.Gate S.p.A.","25th Aug 2018","IT","12779","1","No data","100%","100% 							 							 								81%"
"ITNET srl","25th Jul 2022","IT","3242","1","0","100%","100% 							 							 								9%"
"ITOP TELECOM LTDA","10th Jul 2023","BR","266260","1","0","100%","100% 							 							 								100%"
"ITS Telecomunicacoes","15th Nov 2019","BR","28186","1","0","100%","100% 							 							 								0%"
"itself s.r.o.","17th Jun 2020","AT, CZ, SK","12570","1","No data","100%","100% 							 							 								92%"
"iunxi BV","9th May 2019","BE, DE, NL","34968","1","No data","100%","100% 							 							 								73%"
"IVeloz Telecom Serv. em Telecomunicacoes LTDA","18th Dec 2019","BR","52866","1","0","100%","100% 							 							 								94%"
"Iver","26th Apr 2023","NO, SE","57829, 49409, 49419, 41175, 205788","1","0","100%","100% 							 							 								81%"
"iWayAfrica Kenya Limited","21st Nov 2018","KE","36915","1","No data","100%","100% 							 							 								100%"
"JB3","8th Feb 2022","GB","211224","1","1","1","1"
"JPNIC","17th Apr 2019","JP","2515","1","No data","100%","100% 							 							 								100%"
"JSMSR","10th Jul 2023","CN, DE, US","134478","1","0","100%","100% 							 							 								100%"
"Justweb telecomunicações LTDA","19th Dec 2018","BR","264552","1","No data","100%","100% 							 							 								100%"
"K2 Telecom","30th Dec 2019","BR","53181","1","100%","100%","96% 							 							 								100%"
"KADOKAWA Connected Inc.","15th Jun 2020","JP","38634","1","0","100%","100% 							 							 								0%"
"KALIBO CABLE TELEVISION NETWORK, INC.","6th Jul 2020","PH","132021","1","0","100%","100% 							 							 								100%"
"Kalpak Mukhopadhyay Network Lab","26th Apr 2023","IN","213326","1","0","100%","100% 							 							 								100%"
"Kamoike.net LLP","15th May 2020","JP","63774, 131935","1","49%","100%","100% 							 							 								100%"
"KanREN","25th Aug 2018","US","2495","1","No data","100%","100% 							 							 								100%"
"Karlsruhe Institute of Technology (KIT)","25th Aug 2018","DE","34878, 58069, 204680","1","No data","100%","100% 							 							 								67%"
"KBPS TELECOM","27th Aug 2019","BR","266261","1","0","100%","100% 							 							 								0%"
"KDDI","19th May 2020","GB, HK, JP, SG, US","2516","1","0","100%","100% 							 							 								85%"
"KEMNET TECHNOLOGIES","3rd Jul 2020","KE","328578","1","No data","100%","100% 							 							 								100%"
"Kenya Education Network Trust","6th Jul 2020","KE","36914","1","No data","100%","100% 							 							 								100%"
"Kiewit Corporation","6th Jul 2020","CA, US","55028","1","No data","100%","100% 							 							 								0%"
"KINBER","27th Jan 2020","US","14877","1","0","100%","0"
"Kobertura Telecom","7th Jul 2020","BR","268818","1","No data","100%","100% 							 							 								0%"
"KorCom (Pty) Ltd","2nd Oct 2020","ZA","328677","1","No data","100%","100% 							 							 								100%"
"KPN","25th Aug 2018","NL","1136, 5615, 8737, 15879","1","100%","100%","94% 							 							 								82%"
"KPN","25th Aug 2018","NL","286","1","0","1","1"
"Kyoto University Micro Computer Club","5th Jan 2020","JP","59128","1","No data","100%","100% 							 							 								100%"
"L2M TELECOM","13th Oct 2019","BR","269037","1","0","100%","0"
"LACNIC","25th Aug 2018","UY","28000, 28001, 28002","1","36%","100%","100% 							 							 								100%"
"LAF","26th Feb 2020","LB","60524","1","No data","100%","100% 							 							 								100%"
"Lancom Ltd","3rd Apr 2023","GR","199081","1","No data","100%","100% 							 							 								97%"
"Lare Osing Ndo, PT","13th Sep 2023","ID","149714","1","0","100%","100% 							 							 								100%"
"Layer3 Limited","6th Jul 2020","NG","37125","1","0","100%","91% 							 							 								0%"
"LayerBridge SRL","1st Jul 2022","AT, DE, FR, GB, RO, US","3280","1","No data","0","0"
"Led Internet","31st May 2022","BR","264014","1","No data","100%","100% 							 							 								13%"
"Lepida","2nd Oct 2020","IT","36138","1","1","1","1"
"level66.network","10th Jul 2019","AT, CH, DE","209844","1","0","100%","100% 							 							 								100%"
"Levonet, s.r.o.","19th Jun 2022","SK","50242","1","No data","100%","100% 							 							 								100%"
"Liberty Global","5th Dec 2022","BE, CH, GB, IE, NL, PL, SK","6830","1","100%","100%","100% 							 							 								98%"
"Liberty Technologies Corp","19th Jun 2020","PA","27928","1","No data","100%","100% 							 							 								98%"
"LIBRA SRL","1st Feb 2021","IT","198090","1","0","100%","100% 							 							 								100%"
"Life Net Pvt Ltd","28th Oct 2021","NP","140973","1","0","100%","100% 							 							 								100%"
"Life Tecnologia","18th Feb 2020","BR","28634","1","No data","100%","100% 							 							 								86%"
"Lily Network","29th Nov 2022","CN, GB, JP, US","203236","1","0","100%","100% 							 							 								100%"
"Lime HD LLC","6th Jul 2020","RU","47481","1","0","100%","100% 							 							 								38%"
"Link Oregon","26th Apr 2023","US","3701, 4600","1","0","100%","100% 							 							 								0%"
"LINK TELECOM","25th Apr 2023","BR","269433","1","0","100%","100% 							 							 								43%"
"Link3 Technologies Ltd.","25th Aug 2018","BD","23688","1","No data","100%","99% 							 							 								96%"
"Linkear Srl","6th Jul 2020","AR","-","1","0","1","1"
"Linked Web","5th Mar 2021","BR","270928","1","0","100%","100% 							 							 								33%"
"linkfull corporate","31st Mar 2020","BR","263047","1","0","100%","97% 							 							 								0%"
"Linkup Telecomunicações","6th Jul 2020","BR","265986","1","0","100%","100% 							 							 								100%"
"linuxgemini","6th Nov 2020","DE, TR","208563","1","100%","100%","100% 							 							 								100%"
"Liuxyon","10th Jul 2023","DE, EU, FR, US","39753","1","0","100%","100% 							 							 								100%"
"LNK Systems Muntenia","1st Apr 2020","EU","47950","1","No data","100%","100% 							 							 								100%"
"LoadFront, S.L.","14th Feb 2022","ES","203099","1","100%","100%","100% 							 							 								100%"
"LOCALLINK TELECOMUNICAÇÕES","26th Apr 2023","BR","266129","1","0","100%","88% 							 							 								88%"
"LOCALNET TELECOM LTDA","26th Apr 2023","BR","268377","1","0","100%","100% 							 							 								0%"
"LocLix di Sciacca Matteo Filiberto","6th Jul 2020","IT","207590","1","No data","100%","100% 							 							 								100%"
"Log-Fi Internet","26th Apr 2023","BR","272554","1","0","100%","100% 							 							 								58%"
"LSHIY LLC","25th Jul 2022","US","955, 32167","1","0","100%","100% 							 							 								100%"
"Lumen","31st Aug 2018","US","3356, 3549, 4323","1","42%","100%","20% 							 							 								0%"
"M A INFORMATICA LTDA","7th Jul 2020","BR","268101","1","0","100%","100% 							 							 								100%"
"M-net Telekommunikations GmbH","13th May 2020","DE","8767","1","No data","100%","99% 							 							 								0%"
"MAFHEN NET","19th Jun 2022","BR","266164","1","0","100%","100% 							 							 								0%"
"Magticom","22nd Oct 2018","GE","16010, 25249","1","100%","100%","99% 							 							 								100%"
"Main One Cable Company","27th Oct 2020","CI, GH, NG","37282","1","0","0","100% 							 							 								17%"
"Mainstream","16th Dec 2021","RS","51859","1","No data","100%","100% 							 							 								58%"
"Malaysian Research and Education Network (MYREN)","19th Jun 2022","MY","24514","1","0","0","94% 							 							 								100%"
"Manitoba Research Network (MRnet)","27th Jul 2020","CA","10965","1","No data","100%","100% 							 							 								100%"
"MarioTPC","26th Apr 2023","GT, US","211604","1","0","100%","100% 							 							 								100%"
"MARK SAT ELETROELETRÔNICOS LTDA ME","15th Sep 2021","BR","265093","1","0","100%","100% 							 							 								100%"
"MARWAN","19th Jun 2022","MA","30983","0","0","0","0"
"MARWAN","16th Sep 2022","MA","30983","1","100%","100%","100% 							 							 								100%"
"Massar's Network","14th Aug 2023","CH, EU","57777","1","100%","100%","100% 							 							 								100%"
"MATRIXTELECOMS","12th Oct 2022","CM","36955","1","0","100%","83% 							 							 								40%"
"MaxBR","10th Mar 2020","BR","267654","1","No data","100%","100% 							 							 								100%"
"MAXCON","25th Sep 2020","BR","267361","1","0","100%","100% 							 							 								0%"
"Maxiweb Internet Provider","16th Jul 2019","BR","28140","1","No data","100%","100% 							 							 								100%"
"MAXNET","7th Jul 2020","BR","266525","1","0","100%","100% 							 							 								0%"
"Mazeda Networks Limited","15th Sep 2021","BD","63996","1","0","100%","100% 							 							 								100%"
"MCG Fajnynet","3rd Jul 2019","PL","197709","1","0","100%","100% 							 							 								100%"
"MDNET","10th Jul 2019","AE, AT, AU, BE, BR, CA, CH, CZ, DE, DK, ES, FR, GB, HK, HU, IN, IT, NL, RO, SG, US","40138","1","0","100%","100% 							 							 								90%"
"MDS Telecom CA","25th Apr 2023","VE","269832","0","0","100%","100% 							 							 								100%"
"MEGANET TELECOM","20th Jan 2020","BR","264478","1","0","100%","100% 							 							 								27%"
"Meganet-2003","25th Aug 2018","RU","51410","1","No data","100%","100% 							 							 								100%"
"MEGAred","18th Aug 2021","EC","267916","1","No data","100%","100% 							 							 								100%"
"Melo Telecomunicacoes LTDA","31st Mar 2020","BR","262720","1","0","100%","100% 							 							 								0%"
"Memset Ltd","13th Mar 2019","GB","50957","1","No data","100%","100% 							 							 								75%"
"Merit Network, Inc.","25th Aug 2018","US","237","1","No data","100%","98% 							 							 								32%"
"MERLIN","22nd Jun 2019","CA","16796","1","0","100%","100% 							 							 								80%"
"Microsoft Corporation","9th Apr 2019","US","8075","1","No data","100%","100% 							 							 								91%"
"Mid-Atlantic Crossroads","24th Sep 2020","US","10886","1","No data","100%","100% 							 							 								17%"
"MikeNetworks B.V.","16th Jun 2023","BE, DE, FR, GB, LU, NL","199839, 212389","1","0","100%","0"
"MikeNetworks Ltd.","26th Apr 2023","BE, DE, FR, GB, LU, NL","207574","1","0","100%","0"
"Minara Firoz Infotech","9th Apr 2019","BD","63980","1","No data","100%","100% 							 							 								100%"
"Misaka Network, Inc.","11th Jul 2019","US, CA, CO, BR, AT, NL, DE, GB, CH, FR, IT, ES, SE, PL, BG, RO, UA, RU, NG, ZA, HK, SG, JP, AU","50069, 57578, 57695, 203786","1","No data","100%","100% 							 							 								75%"
"MLGT","11th Feb 2023","DE, EU, IT","204508","1","0","100%","100% 							 							 								100%"
"MNET","7th Jul 2020","BR","269424","1","0","100%","100% 							 							 								0%"
"MobiCom Corporation","15th Jun 2020","MN","55805, 9484","1","0","100%","100% 							 							 								68%"
"MoeBee Network","5th May 2022","CN, EU, HK, JP","139328","1","0","100%","100% 							 							 								100%"
"Moeclub Ltd","26th Apr 2023","DE, GB, JP, TW, US","202776","1","0","100%","100% 							 							 								100%"
"MOREnet","10th Jul 2019","US","2572","1","No data","100%","100% 							 							 								0%"
"Moriah Net Comunicações LTDA","20th Apr 2021","BR","269253","1","No data","100%","100% 							 							 								0%"
"Mozambique Research and Education Network - MoRENet","30th Oct 2018","MZ","327700","1","No data","100%","0"
"MPLINE telecom","7th Jul 2020","BR","269657","1","0","100%","100% 							 							 								75%"
"MTN CAMEROON","18th Oct 2022","CM","30992","1","No data","100%","100% 							 							 								0%"
"MTN Irancell","19th Nov 2021","IR","44244","1","100%","100%","100% 							 							 								100%"
"MTN NIGERIA Communication limited","5th Nov 2019","NG","29465","1","0","100%","99% 							 							 								86%"
"MTN RWANDA","11th Nov 2022","RW","36890","1","0","100%","100% 							 							 								100%"
"MUKAND INFOTEL PVT LTD","5th Apr 2023","IN","132960","1","49%","100%","100% 							 							 								100%"
"myLoc managed IT AG","2nd Jul 2019","DE","24961","1","0","100%","100% 							 							 								100%"
"Mythic Beasts Ltd","20th Apr 2021","GB, NL, US","44684, 60011","1","100%","100%","100% 							 							 								100%"
"Mzanzi Lisetta Media","12th Oct 2022","ZA","329121","1","0","100%","100% 							 							 								100%"
"NANO","26th Apr 2023","BT","136039","1","0","100%","100% 							 							 								100%"
"NASATEL","30th Jun 2023","ID","150487","1","0","100%","100% 							 							 								100%"
"Nathan Sales","14th Jul 2020","CA, DE, PR, US","34553","1","0","100%","100% 							 							 								100%"
"NaveNet Telecom","4th May 2020","BR","266312","1","No data","100%","100% 							 							 								100%"
"Nayatel Pvt. Ltd","5th Nov 2019","PK","23674","1","0","100%","100% 							 							 								89%"
"NBS TELECOM","13th Sep 2023","BR","61745","1","0","100%","100% 							 							 								71%"
"NCSE NETWORK","26th Apr 2023","EU, HK, SG, TW, US","204844","1","0","100%","100% 							 							 								100%"
"Nebula Oy","25th Aug 2018","FI","29422","1","No data","100%","97% 							 							 								79%"
"NeoPixel","22nd Aug 2023","AD","54554","1","0","100%","100% 							 							 								0%"
"Neptune Networks","3rd May 2021","US","21700","1","No data","100%","90% 							 							 								86%"
"Net Barretos","19th Mar 2019","BR","262983","1","No data","100%","100% 							 							 								0%"
"Net3 Telecom","24th Jun 2019","BR","268352","1","No data","100%","100% 							 							 								0%"
"NetCintra Telecomunicações","7th Jul 2020","BR","262546","1","0","100%","100% 							 							 								0%"
"Netdigit Telecom","30th Dec 2019","BR","28245","1","0","1","1"
"NetFortris","18th Jun 2021","AU, FR, US, ZA","32035","1","No data","100%","100% 							 							 								94%"
"Netion Soluções em Internet via Rádio Ltda","9th Nov 2020","BR","52980","1","No data","100%","100% 							 							 								78%"
"Netnorth Limited","25th Aug 2018","GB","25376","1","100%","100%","100% 							 							 								67%"
"netonline","30th Jun 2020","BR","53176","1","1","1","1"
"Netspeed LTDA","22nd Sep 2022","BR","28352, 61796","1","68%","100%","100% 							 							 								0%"
"NETSV Serviço de Comunicação Multimidia Ltda","17th Jul 2023","BR","266248","1","49%","100%","100% 							 							 								40%"
"Nettel Telecomunicações Ltda","27th Nov 2018","BR","53135","1","100%","100%","100% 							 							 								66%"
"NetTop Telecom","19th Nov 2021","BR","270577","1","No data","100%","100% 							 							 								100%"
"Netway Telecom","13th Sep 2023","BR","61678","1","0","100%","100% 							 							 								93%"
"Netwerkvereniging ColoClue","17th Oct 2021","NL","8283","1","No data","100%","100% 							 							 								100%"
"NEX TELECOM LTDA ME","10th Jul 2023","BR","265019","1","0","100%","100% 							 							 								100%"
"Nexica","25th Aug 2018","ES","24592","1","No data","100%","100% 							 							 								100%"
"NEXIM ITALIA","11th Jul 2019","IT","210122","1","0","100%","0"
"Nexlinx Networks (Pvt) Ltd","5th Sep 2022","PK","17563","1","0","100%","100% 							 							 								100%"
"Nexril","17th Jan 2019","US","13830","1","No data","100%","100% 							 							 								92%"
"Nexsul Conectividade","17th Mar 2020","BR","52694","1","No data","100%","100% 							 							 								100%"
"NextHop Solutions","26th Apr 2023","BR","61609","1","0","100%","100% 							 							 								100%"
"Nexusguard","11th Jul 2019","HK","45474","1","0","0","0"
"NIC.BR - Nucleo de Inf. e Coord. do Ponto BR","1st Feb 2019","BR","22548","1","100%","100%","100% 							 							 								50%"
"NICNET TELECOMUNICACOES LTDA","8th Feb 2022","BR","266044, 266998","1","No data","100%","100% 							 							 								57%"
"NineStar Connect","8th Apr 2020","US","11525","1","0","100%","88% 							 							 								75%"
"NJEDge.Net","4th Apr 2022","US","21976, 62532","1","0","100%","98% 							 							 								92%"
"NNET","19th Jun 2022","CN, DE, JP","142582","1","0","100%","100% 							 							 								100%"
"Noelware, LLC","7th Mar 2023","CA, DE, SG, US","200182","1","100%","100%","100% 							 							 								100%"
"NOOR Data Networks","25th Aug 2018","EG","20928","1","0","100%","100% 							 							 								0%"
"NORDUnet","25th Aug 2018","DK, FI, IS, NO, SE","2603","1","No data","100%","92% 							 							 								83%"
"Northwestern University","13th Mar 2019","US","103","1","No data","100%","100% 							 							 								0%"
"NovaNET","3rd Apr 2023","BR","263442","1","No data","100%","100% 							 							 								100%"
"Nsight","6th Apr 2020","US","3663","1","0","100%","100% 							 							 								100%"
"nts workspace ag","11th Aug 2020","CH","15576, 39040","1","100%","100%","100% 							 							 								91%"
"NTT Communications","25th Aug 2018","US","2914","1","0","100%","90% 							 							 								65%"
"Nuco Technologies Ltd (Host-IT)","6th Sep 2023","GB","45014","1","No data","100%","100% 							 							 								97%"
"NYSERNet","17th Mar 2022","US","3754","1","0","100%","100% 							 							 								50%"
"OK FIBRA","15th Sep 2021","BR","266039","1","0","100%","100% 							 							 								0%"
"OK Virtual LTDA","31st Mar 2021","BR","262369","1","No data","100%","100% 							 							 								0%"
"Omnilance Ltd.","11th Dec 2019","UA","41018","1","0","1","0"
"onciti","4th May 2020","BR","269661","1","No data","100%","100% 							 							 								50%"
"Onda Internet","6th Jul 2020","BR","28362","1","0","100%","100% 							 							 								100%"
"OneNet","8th Apr 2020","US","5078","1","No data","100%","100% 							 							 								17%"
"ONLINE DATA CENTER CONS EM INF E LOC DE BENS E SER","4th May 2020","BR","263461","1","No data","100%","100% 							 							 								0%"
"Online Telecom","31st Dec 2021","BR","263327","1","No data","100%","100% 							 							 								100%"
"Open X","14th Mar 2019","BR","263444","1","0","100%","100% 							 							 								100%"
"OpenCarrier eG","25th Aug 2018","DE","41692","0","No data","100%","100% 							 							 								100%"
"Openfactory GmbH","6th Jul 2020","CH, DE, GB, LI, NL","58299, 41666","1","0","100%","100% 							 							 								100%"
"OpenFiber BV","7th Mar 2023","NL","207176","1","0","100%","100% 							 							 								100%"
"Optfiber Telecomunicações Ltda","10th Aug 2023","BR","268013","1","No data","100%","100% 							 							 								0%"
"Orange - Open Transit Internet","25th Aug 2018","FR","5511","1","1","1","1"
"Orange Cameroon SA","12th Oct 2022","CM","36912","1","0","100%","100% 							 							 								0%"
"Orange Morocco","25th Aug 2018","MA","36925","1","1","1","1"
"Orange Polska","25th Aug 2018","PL","5617","1","1","1","1"
"Orange – Orange Mali","31st Dec 2021","ML","30985","1","1","1","1"
"Oria eliza Hugo carrasco me","7th Oct 2020","BR","265098","0","29%","100%","100% 							 							 								100%"
"ORION","11th Jan 2021","CA","26677","1","No data","100%","100% 							 							 								31%"
"OSHEAN, Inc.","19th Jun 2019","US","14325","1","0","100%","93% 							 							 								53%"
"Osirnet Info Telecom Ltda","19th Jun 2022","BR","262459","1","0","100%","100% 							 							 								67%"
"OXI TELECOMUNICACOES LTDA ME","19th Nov 2021","BR","264457","1","1","1","1"
"Pacific Northwest Gigapop","31st Mar 2021","US","101","1","No data","100%","100% 							 							 								100%"
"Pair Networks, Inc.","6th Apr 2020","US","7859","1","No data","100%","100% 							 							 								0%"
"Panda Conect Sa","30th Dec 2019","PY","263732","1","No data","100%","100% 							 							 								100%"
"Paratus","15th Sep 2021","AO, BW, MZ, NA, SZ, ZA, ZM, ZW","33763","1","0","100%","99% 							 							 								79%"
"Parknet FMBA","4th Nov 2019","DK","197301","1","100%","100%","100% 							 							 								100%"
"Paschoalotto Serviços Financeiros","6th Jul 2020","BR","267346","1","0","100%","100% 							 							 								0%"
"Paulinianet Telecom","4th May 2020","BR","263053","1","0","100%","100% 							 							 								63%"
"PBNET TELECOM","9th Mar 2023","BR","263086","1","No data","100%","100% 							 							 								0%"
"PCCW Global","13th Feb 2023","HK","3491","1","100%","100%","98% 							 							 								0%"
"Peaktera","15th Apr 2021","US","32931","1","No data","100%","100% 							 							 								92%"
"Pegaso, PCS SA de CV (Telefonica Movistar Mexico)","18th Mar 2020","MX","7438, 28479","0","0","100%","100% 							 							 								100%"
"PENTANET","14th Dec 2022","AU","10214","1","100%","100%","100% 							 							 								100%"
"Peoplenet","6th Nov 2020","BR","61802","1","No data","100%","0"
